epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.163,1.97157,15.5664,2.1294,0.49764,0.1437,0.10381,0.04882,2.04113,11.6109,2.04571,0.000332905,0.000332905,0.0670424
2,385.458,1.94559,12.8684,2.11481,0.38057,0.18355,0.14487,0.05965,2.18386,10.4998,2.32185,0.000659642,0.000659642,0.0340358
3,550.289,1.91564,12.0904,2.06007,0.58837,0.19025,0.13476,0.06355,2.10679,11.326,2.14943,0.00097978,0.00097978,0.00102262
4,724.088,1.85417,11.4996,2.00974,0.48017,0.2878,0.22897,0.11789,1.95587,8.3745,1.99844,0.0009703,0.0009703,0.0009703
5,897.329,1.81,10.7342,1.96711,0.58043,0.28806,0.27778,0.13751,1.88699,8.42443,1.94432,0.0009604,0.0009604,0.0009604
6,1049.79,1.76611,10.2737,1.90913,0.5934,0.28986,0.27656,0.1444,1.86021,7.88674,1.88584,0.0009505,0.0009505,0.0009505
7,1197.38,1.73648,9.77356,1.87162,0.62098,0.28002,0.31254,0.16357,1.78488,7.24594,1.83,0.0009406,0.0009406,0.0009406
8,1358.08,1.71683,9.57249,1.86927,0.45916,0.30804,0.30436,0.15492,1.76497,7.38009,1.81944,0.0009307,0.0009307,0.0009307
9,1508.04,1.68818,9.32787,1.83949,0.70848,0.27338,0.32589,0.16629,1.77218,6.96169,1.79733,0.0009208,0.0009208,0.0009208
10,1652.02,1.67859,9.10693,1.81949,0.60809,0.33792,0.34477,0.18625,1.82328,6.7753,1.82049,0.0009109,0.0009109,0.0009109
11,1795.79,1.65333,8.892,1.79653,0.48572,0.41318,0.36402,0.19066,1.74244,6.67691,1.75099,0.000901,0.000901,0.000901
12,1980.82,1.64957,8.7621,1.7988,0.55245,0.37427,0.36622,0.20042,1.69743,6.43979,1.74428,0.0008911,0.0008911,0.0008911
13,2124.48,1.62837,8.4951,1.77255,0.55221,0.39492,0.37976,0.2099,1.6779,6.18551,1.69905,0.0008812,0.0008812,0.0008812
14,2292.95,1.62804,8.32913,1.7704,0.60287,0.37896,0.37256,0.2009,1.71812,6.1351,1.76623,0.0008713,0.0008713,0.0008713
15,2508.73,1.60273,8.24759,1.74961,0.53735,0.38803,0.37958,0.19725,1.73869,6.07353,1.75313,0.0008614,0.0008614,0.0008614
16,2647.71,1.59632,8.10805,1.74164,0.51761,0.37655,0.38213,0.19704,1.74468,6.05447,1.75086,0.0008515,0.0008515,0.0008515
17,2787.01,1.58167,7.85157,1.71921,0.70755,0.36415,0.4006,0.21867,1.7204,5.8637,1.72973,0.0008416,0.0008416,0.0008416
18,2958.83,1.58232,7.72338,1.7125,0.55685,0.42522,0.41339,0.23569,1.65248,5.58438,1.66016,0.0008317,0.0008317,0.0008317
19,3097.3,1.57932,7.87398,1.72075,0.68011,0.36636,0.39738,0.22416,1.66627,5.75283,1.70156,0.0008218,0.0008218,0.0008218
20,3237.09,1.55866,7.53021,1.70632,0.57921,0.43508,0.43427,0.24243,1.66485,5.52943,1.68147,0.0008119,0.0008119,0.0008119
21,3378.27,1.55193,7.30254,1.69091,0.58535,0.45052,0.44187,0.24219,1.64914,5.42395,1.65251,0.000802,0.000802,0.000802
22,3528.3,1.55679,7.29636,1.68926,0.65197,0.4577,0.45275,0.24932,1.6757,5.23225,1.67116,0.0007921,0.0007921,0.0007921
23,3683.09,1.53099,7.2543,1.66626,0.55661,0.43805,0.44286,0.24669,1.61745,5.23759,1.62494,0.0007822,0.0007822,0.0007822
24,3855.21,1.52021,7.11437,1.66344,0.68941,0.40395,0.4665,0.26096,1.61714,5.23368,1.61466,0.0007723,0.0007723,0.0007723
