epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.698,1.53909,6.85009,1.61442,0.65991,0.2543,0.21542,0.12985,1.54429,2.28628,1.53673,0.000166452,0.000166452,0.000166452
2,774.749,1.60527,4.3965,1.66194,0.56925,0.24933,0.21352,0.12288,1.58706,2.19571,1.5511,0.00030014,0.00030014,0.00030014
3,928.954,1.62079,2.96512,1.66404,0.62713,0.28422,0.26366,0.16232,1.58035,2.03574,1.54655,0.000400828,0.000400828,0.000400828
4,1095.43,1.59325,2.474,1.63718,0.39807,0.32815,0.28114,0.17013,1.55993,1.82818,1.53295,0.0003515,0.0003515,0.0003515
5,1233.31,1.49212,2.11782,1.57067,0.58156,0.36024,0.37642,0.22849,1.43192,1.51106,1.43384,0.000302,0.000302,0.000302
6,1467.6,1.44242,1.92935,1.5349,0.41904,0.40323,0.38183,0.24398,1.38812,1.509,1.42414,0.0002525,0.0002525,0.0002525
7,1611.86,1.3598,1.72838,1.46547,0.57531,0.41153,0.43702,0.28585,1.30666,1.30356,1.33612,0.000203,0.000203,0.000203
8,1812.33,1.31049,1.57233,1.41672,0.49706,0.49643,0.47712,0.3083,1.28225,1.18364,1.31732,0.0001535,0.0001535,0.0001535
9,1955.65,1.24902,1.44337,1.37013,0.56427,0.53572,0.5175,0.33856,1.22498,1.10738,1.2818,0.000104,0.000104,0.000104
10,2095.99,1.2114,1.34823,1.34676,0.62696,0.52994,0.5355,0.34679,1.20759,1.05561,1.274,5.45e-05,5.45e-05,5.45e-05
